Usuario,Categorias,Numero_articulos,Fecha,Precio,Valoracion,Comentarios,Proveedores
191,Ropa,2,2019-06-24 10:07:19.246642,407.99,2.6,llego justo a tiempo,Levis
362,Accesorios,11,2020-06-11 21:21:23.973773,261.75,1.6,el paquete llego en mal estado,Bimba y Lola
266,Zapatos,4,2020-01-02 23:52:46.675819,57.55,1.0,no cumple las expectativas,New balance
436,Ropa,4,2020-07-28 06:56:23.275207,434.75,3.5, cumple las expectativas,Hollister
28,Electronica,5,2020-10-29 04:01:34.449135,54.4,2.1, la calidad no es la esperada,Apple
22,Electronica,7,2019-08-09 02:30:34.156409,442.15,4.2,justo lo que esperaba,Apple
45,Baño,5,2020-02-19 19:28:46.458923,291.04,1.5,no llego el producto,Don limpio
72,Deporte,11,2020-09-24 02:21:59.888055,465.21,3.2,llego justo a tiempo,Adidas
106,Baño,7,2019-02-14 12:00:55.653445,424.37,3.4,llego justo a tiempo,Cif
35,Hogar,11,2019-06-11 18:09:08.846067,137.56,3.6,justo lo que esperaba,Colgate - palmolive
277,Accesorios,5,2019-09-29 17:09:19.317450,326.83,4.7, muy bueno!, Michael Kors
169,Baño,10,2019-10-03 17:14:05.945866,364.31,1.6,no llego en tiempo,KH7
267,Accesorios,2,2020-11-11 01:36:21.413268,136.19,0.7,no llego el producto,Polo
7,Juguetes,6,2019-05-09 00:59:20.849021,166.95,4.6, muy bueno!,Fisher-price
472,Baño,8,2019-11-19 06:01:35.568308,47.59,3.3,llego justo a tiempo,Cristasol
424,Cocina,11,2019-05-15 02:00:25.705598,119.27,0.3,muy malo,Nescafe
252,Libros,5,2019-12-11 06:56:29.739053,342.16,1.5,no llego el producto,Alianza Editorial
245,Baño,3,2019-10-04 11:48:16.153646,136.43,4.7,buena relacion calidad-precio,Cristasol
339,Ropa,8,2020-06-13 23:38:08.967463,444.13,3.5,me gusto,Hollister
10,Accesorios,11,2019-05-05 15:34:37.722852,267.34,2.2, la calidad no es la esperada,Ray-ban
436,Cocina,11,2020-02-01 09:40:21.532300,219.87,4.8,justo lo que esperaba,Flora
403,Deporte,2,2020-09-30 00:31:44.529958,292.9,2.8,me gusto,Adidas
54,Baño,1,2020-01-23 16:33:44.703623,298.79,0.5,muy malo,Cif
228,Accesorios,3,2020-12-29 09:10:48.789836,19.19,1.5,muy malo,Polo
117,Zapatos,9,2020-09-10 22:32:38.232097,319.89,0.3,muy malo,Camper
72,Ropa,9,2019-06-07 22:55:59.754038,242.69,1.5,muy malo,Levis
273,Juguetes,7,2019-02-28 08:56:27.717825,122.73,3.0,llego justo a tiempo,Fisher-price
353,Electronica,9,2020-12-23 07:43:23.639419,226.64,4.9, muy bueno!,General Electric
12,Cocina,9,2019-12-31 07:22:48.599556,497.93,1.6, la calidad no es la esperada,Bimbo
215,Accesorios,6,2020-06-27 22:58:59.750761,499.26,2.5,el paquete llego en mal estado, Michael Kors
130,Baño,3,2019-11-07 07:58:53.501119,330.57,3.6,justo lo que esperaba,KH7
242,Hogar,1,2019-03-14 01:51:23.760899,111.84,0.9,no llego el producto,Henkel
161,Ferreteria,2,2020-05-29 09:07:29.340682,295.71,4.5,buena relacion calidad-precio,Sika
74,Deporte,1,2019-02-06 07:52:22.754248,315.63,1.1,no llego el producto,Nike
93,Accesorios,8,2020-03-04 05:01:18.707423,320.57,0.6,muy malo,Bimba y Lola
