,Comentarios
0,llego justo a tiempo
1,el paquete llego en mal estado
2,no cumple las expectativas
3, cumple las expectativas
4, la calidad no es la esperada
5,justo lo que esperaba
6,no llego el producto
7,llego justo a tiempo
8,llego justo a tiempo
9,justo lo que esperaba
10, muy bueno!
11,no llego en tiempo
12,no llego el producto
13, muy bueno!
14,llego justo a tiempo
15,muy malo
16,no llego el producto
17,buena relacion calidad-precio
18,me gusto
19, la calidad no es la esperada
20,justo lo que esperaba
21,me gusto
22,muy malo
23,muy malo
24,muy malo
25,muy malo
26,llego justo a tiempo
27, muy bueno!
28, la calidad no es la esperada
29,el paquete llego en mal estado
30,justo lo que esperaba
31,no llego el producto
32,buena relacion calidad-precio
33,no llego el producto
34,muy malo
35,el paquete llego en mal estado
36,justo lo que esperaba
37,el paquete llego en mal estado
38,buena relacion calidad-precio
39,no llego en tiempo
40,no llego el producto
41,no cumple las expectativas
42, cumple las expectativas
43,no llego el producto
44,muy malo
45,muy malo
46, la calidad no es la esperada
47,el paquete llego en mal estado
48,no cumple las expectativas
49, cumple las expectativas
50, cumple las expectativas
51,el paquete llego en mal estado
52, muy bueno!
53,me gusto
54, muy bueno!
55,no cumple las expectativas
56,muy malo
57,no llego el producto
58, cumple las expectativas
59,no llego el producto
60,justo lo que esperaba
61,justo lo que esperaba
62,no llego en tiempo
63,no llego el producto
64, la calidad no es la esperada
65, la calidad no es la esperada
66, cumple las expectativas
67,buena relacion calidad-precio
68,me gusto
69,buena relacion calidad-precio
70,el paquete llego en mal estado
71, muy bueno!
72,no llego el producto
73,me gusto
74,no cumple las expectativas
75,no llego el producto
76,el paquete llego en mal estado
77, muy bueno!
78,el paquete llego en mal estado
79, cumple las expectativas
80,buena relacion calidad-precio
81, cumple las expectativas
82,justo lo que esperaba
83, muy bueno!
84, cumple las expectativas
85,no cumple las expectativas
86,el paquete llego en mal estado
87,muy malo
88,el paquete llego en mal estado
89,no cumple las expectativas
90, muy bueno!
91,buena relacion calidad-precio
92,me gusto
93, cumple las expectativas
94,justo lo que esperaba
95,buena relacion calidad-precio
96,muy malo
97,buena relacion calidad-precio
98,llego justo a tiempo
99,justo lo que esperaba
100, cumple las expectativas
101, la calidad no es la esperada
102,el paquete llego en mal estado
103,me gusto
104,buena relacion calidad-precio
105, muy bueno!
106,no llego el producto
107, la calidad no es la esperada
108,buena relacion calidad-precio
109,no llego en tiempo
110, cumple las expectativas
111, muy bueno!
112,buena relacion calidad-precio
113,no cumple las expectativas
114,buena relacion calidad-precio
115,llego justo a tiempo
116,no llego el producto
117, muy bueno!
118, muy bueno!
119,no cumple las expectativas
120,me gusto
121,justo lo que esperaba
122,justo lo que esperaba
123, muy bueno!
124,no llego en tiempo
125,no llego en tiempo
126,llego justo a tiempo
127,llego justo a tiempo
128, muy bueno!
129,no cumple las expectativas
130,me gusto
131,no llego el producto
132,justo lo que esperaba
133,no llego el producto
134,llego justo a tiempo
135,me gusto
136,justo lo que esperaba
137, la calidad no es la esperada
138,llego justo a tiempo
139,no cumple las expectativas
140,no llego el producto
141,no cumple las expectativas
142,no llego en tiempo
143,buena relacion calidad-precio
144,no llego en tiempo
145, muy bueno!
146,muy malo
147, muy bueno!
148,el paquete llego en mal estado
149,justo lo que esperaba
150,me gusto
151, muy bueno!
152,muy malo
153,el paquete llego en mal estado
154,el paquete llego en mal estado
155,muy malo
156,no llego en tiempo
157,me gusto
158,justo lo que esperaba
159,buena relacion calidad-precio
160,justo lo que esperaba
161, muy bueno!
162, cumple las expectativas
163, muy bueno!
164,justo lo que esperaba
165,no llego el producto
166,el paquete llego en mal estado
167,me gusto
168,no llego en tiempo
169,muy malo
170,llego justo a tiempo
171,el paquete llego en mal estado
172,muy malo
173,buena relacion calidad-precio
174, la calidad no es la esperada
175,no llego el producto
176,me gusto
177,muy malo
178,no llego en tiempo
179, muy bueno!
180,justo lo que esperaba
181, cumple las expectativas
182,llego justo a tiempo
183,muy malo
184, muy bueno!
185, muy bueno!
186,llego justo a tiempo
187, cumple las expectativas
188,no llego en tiempo
189,no llego el producto
190,no cumple las expectativas
191, la calidad no es la esperada
192, muy bueno!
193, muy bueno!
194,no llego en tiempo
195,justo lo que esperaba
196,no llego en tiempo
197, cumple las expectativas
198,me gusto
199, muy bueno!
200,buena relacion calidad-precio
201,muy malo
202,no cumple las expectativas
203,no llego en tiempo
204,muy malo
205,buena relacion calidad-precio
206,muy malo
207,me gusto
208,me gusto
209,no llego en tiempo
210,me gusto
211,el paquete llego en mal estado
212, muy bueno!
213,muy malo
214, muy bueno!
215,no llego en tiempo
216,no llego en tiempo
217,justo lo que esperaba
218, la calidad no es la esperada
219,no cumple las expectativas
220,buena relacion calidad-precio
221,no llego el producto
222,llego justo a tiempo
223,justo lo que esperaba
224,no cumple las expectativas
225,llego justo a tiempo
226,no llego el producto
227, cumple las expectativas
228,no llego el producto
229,no cumple las expectativas
230,el paquete llego en mal estado
231,justo lo que esperaba
232,me gusto
233,el paquete llego en mal estado
234,llego justo a tiempo
235,justo lo que esperaba
236,justo lo que esperaba
237,no llego el producto
238, muy bueno!
239,muy malo
240,no llego en tiempo
241,el paquete llego en mal estado
242,no llego el producto
243,muy malo
244,no llego el producto
245,llego justo a tiempo
246,no llego el producto
247, la calidad no es la esperada
248,no cumple las expectativas
249,me gusto
250, la calidad no es la esperada
251,muy malo
252,buena relacion calidad-precio
253,justo lo que esperaba
254, la calidad no es la esperada
255,justo lo que esperaba
256,muy malo
257, la calidad no es la esperada
258,no cumple las expectativas
259,muy malo
260,buena relacion calidad-precio
261,buena relacion calidad-precio
262,no cumple las expectativas
263, la calidad no es la esperada
264, cumple las expectativas
265, cumple las expectativas
266,buena relacion calidad-precio
267, la calidad no es la esperada
268, la calidad no es la esperada
269,justo lo que esperaba
270,me gusto
271,justo lo que esperaba
272,no llego el producto
273,buena relacion calidad-precio
274,no llego el producto
275,justo lo que esperaba
276,justo lo que esperaba
277, la calidad no es la esperada
278, la calidad no es la esperada
279,me gusto
280,el paquete llego en mal estado
281,llego justo a tiempo
282, muy bueno!
283,no cumple las expectativas
284,no llego el producto
285,justo lo que esperaba
286,justo lo que esperaba
287,muy malo
288,no llego el producto
289, la calidad no es la esperada
290, la calidad no es la esperada
291,muy malo
292,no cumple las expectativas
293, muy bueno!
294,no llego en tiempo
295,justo lo que esperaba
296, cumple las expectativas
297,buena relacion calidad-precio
298,muy malo
299,muy malo
300,muy malo
301,no llego en tiempo
302,muy malo
303,no llego en tiempo
304,buena relacion calidad-precio
305,el paquete llego en mal estado
306,buena relacion calidad-precio
307,me gusto
308,buena relacion calidad-precio
309, la calidad no es la esperada
310,llego justo a tiempo
311,llego justo a tiempo
312,me gusto
313,buena relacion calidad-precio
314,no llego el producto
315,no llego el producto
316, muy bueno!
317,justo lo que esperaba
318, cumple las expectativas
319,el paquete llego en mal estado
320, muy bueno!
321,no llego el producto
322,muy malo
323,me gusto
324,no cumple las expectativas
325,el paquete llego en mal estado
326,muy malo
327,buena relacion calidad-precio
