Usuario,Categorias,Numero_articulos,Fecha,Precio,Valoracion,Comentarios,Proveedores,Ciudad
1,Cocina,8,Primavera,264.5,1.3,no cumple las expectativas,Flora,Gijón
1,Hogar,6,Primavera,431.16,0.9,no cumple las expectativas,Henkel,Gijón
1,Cocina,2,Verano,374.87,4.0,justo lo que esperaba,Bimbo,Gijón
1,Hogar,2,Primavera,55.15,2.1,el paquete llego en mal estado,Colgate - palmolive,Gijón
1,Baño,2,Verano,18.32,4.7, muy bueno!,KH7,Gijón
1,Libros,8,Verano,347.03,1.7,no llego en tiempo,Ediciones Tomodomo,Gijón
1,Deporte,2,Invierno,412.65,1.7,el paquete llego en mal estado,Adidas,Gijón
1,Electronica,9,Otoño,207.31,4.9,justo lo que esperaba,Samsumg,Gijón
1,Ferreteria,6,Primavera,345.27,3.8,buena relacion calidad-precio,3M,Gijón
1,Juguetes,8,Primavera,318.6,0.5,no cumple las expectativas,Fisher-price,Gijón
1,Juguetes,10,Verano,185.66,4.8,justo lo que esperaba,Chicco,Gijón
1,Hogar,9,Otoño,337.37,1.7,no llego en tiempo,Unilever,Gijón
1,Hogar,10,Otoño,266.61,3.6,buena relacion calidad-precio,Colgate - palmolive,Gijón
1,Ropa,10,Otoño,388.4,2.4,el paquete llego en mal estado,Roxy,Gijón
1,Deporte,1,Primavera,376.39,2.7,llego justo a tiempo,Adidas,Gijón
1,Baño,2,Otoño,340.37,3.3,llego justo a tiempo,Don limpio,Gijón
1,Zapatos,6,Otoño,336.08,4.8,justo lo que esperaba,New balance,Gijón
1,Ropa,4,Verano,77.6,0.5,no cumple las expectativas,Levis,Gijón
1,Libros,3,Verano,433.76,3.2,me gusto,Platena Comic,Gijón
2,Cocina,7,Otoño,422.12,0.3,no cumple las expectativas,Bimbo,Valladolid
2,Libros,11,Primavera,139.19,1.8,no llego en tiempo,Platena Comic,Valladolid
2,Libros,8,Otoño,481.12,3.4, cumple las expectativas,Alianza Editorial,Valladolid
2,Ferreteria,2,Primavera,377.72,1.4,muy malo,Yale,Valladolid
2,Deporte,5,Otoño,327.39,0.2,no llego el producto,Asics,Valladolid
2,Juguetes,2,Primavera,41.83,2.7,llego justo a tiempo,Chicco,Valladolid
2,Baño,8,Primavera,163.23,4.6, muy bueno!,KH7,Valladolid
2,Ferreteria,9,Primavera,99.48,0.5,no llego el producto,Yale,Valladolid
2,Electronica,5,Otoño,243.33,1.5,no llego el producto,Apple,Valladolid
2,Accesorios,2,Otoño,216.16,2.2, la calidad no es la esperada, Michael Kors,Valladolid
2,Juguetes,1,Primavera,240.93,1.0,no llego el producto,Fisher-price,Valladolid
2,Accesorios,1,Primavera,451.55,4.9, muy bueno!,Polo,Valladolid
2,Ferreteria,11,Primavera,316.71,0.9,no llego el producto,Sika,Valladolid
2,Electronica,1,Primavera,379.82,0.6,no llego el producto,Apple,Valladolid
2,Libros,10,Primavera,108.69,0.9,no cumple las expectativas,Valdemar,Valladolid
2,Ropa,7,Otoño,494.22,1.2,no cumple las expectativas,Hollister,Valladolid
2,Cocina,1,Primavera,78.89,3.6,justo lo que esperaba,Bimbo,Valladolid
2,Ferreteria,1,Primavera,32.11,0.7,no cumple las expectativas,3M,Valladolid
2,Juguetes,6,Primavera,221.93,1.2,no cumple las expectativas,Fisher-price,Valladolid
2,Juguetes,6,Primavera,175.12,0.9,muy malo,Chicco,Valladolid
3,Cocina,10,Primavera,387.48,1.7,no llego en tiempo,Nescafe,Malaga
3,Hogar,7,Verano,55.62,1.9,el paquete llego en mal estado,Colgate - palmolive,Malaga
3,Deporte,2,Primavera,282.29,4.4, muy bueno!,Adidas,Malaga
3,Ferreteria,8,Verano,415.92,2.7,llego justo a tiempo,3M,Malaga
3,Deporte,11,Verano,455.96,2.8,me gusto,Adidas,Malaga
3,Cocina,4,Primavera,42.64,3.6,justo lo que esperaba,Flora,Malaga
3,Zapatos,3,Otoño,410.84,0.8,no llego el producto,Crocs,Malaga
3,Hogar,10,Otoño,314.84,5.0, muy bueno!,Henkel,Malaga
3,Cocina,9,Verano,301.82,2.4,no llego en tiempo,Nescafe,Malaga
3,Deporte,3,Primavera,268.81,1.7,el paquete llego en mal estado,Nike,Malaga
3,Juguetes,4,Verano,182.66,2.6,llego justo a tiempo,Playmobile,Malaga
3,Ferreteria,4,Primavera,423.57,3.1,llego justo a tiempo,Pavco,Malaga
3,Ferreteria,4,Otoño,498.14,1.8, la calidad no es la esperada,3M,Malaga
3,Zapatos,8,Primavera,484.97,2.2, la calidad no es la esperada,Camper,Malaga
3,Accesorios,8,Otoño,472.58,3.2, cumple las expectativas,Ray-ban,Malaga
3,Accesorios,10,Verano,362.29,3.8,justo lo que esperaba,Bimba y Lola,Malaga
3,Baño,7,Primavera,447.65,4.0,buena relacion calidad-precio,KH7,Malaga
3,Baño,11,Primavera,124.59,3.4,me gusto,Cif,Malaga
3,Juguetes,8,Otoño,91.51,3.8, muy bueno!,Chicco,Malaga
4,Baño,2,Primavera,258.74,2.7,llego justo a tiempo,Cristasol,Alicante
4,Baño,3,Otoño,33.74,1.9, la calidad no es la esperada,Don limpio,Alicante
4,Cocina,2,Verano,27.71,4.1, muy bueno!,Oscar mayer,Alicante
4,Ropa,7,Primavera,37.07,2.5,el paquete llego en mal estado,Hollister,Alicante
4,Deporte,2,Primavera,225.96,4.4,justo lo que esperaba,Asics,Alicante
4,Ferreteria,7,Primavera,91.82,0.3,muy malo,Sika,Alicante
4,Accesorios,10,Primavera,422.2,2.1,no llego en tiempo,Polo,Alicante
4,Libros,5,Primavera,355.3,0.9,muy malo,Alianza Editorial,Alicante
4,Cocina,7,Primavera,104.71,0.9,no llego el producto,Nescafe,Alicante
4,Zapatos,8,Otoño,218.02,0.2,no llego el producto,Camper,Alicante
4,Hogar,8,Verano,302.29,1.6,el paquete llego en mal estado,Vileda,Alicante
4,Juguetes,7,Verano,6.37,3.1, cumple las expectativas,Fisher-price,Alicante
4,Deporte,6,Primavera,46.43,4.4,buena relacion calidad-precio,Under Armour,Alicante
4,Libros,4,Otoño,71.49,4.8, muy bueno!,Ediciones Tomodomo,Alicante
4,Libros,4,Verano,479.18,2.0, la calidad no es la esperada,Ediciones Tomodomo,Alicante
4,Baño,10,Primavera,223.24,3.1,llego justo a tiempo,Cristasol,Alicante
4,Zapatos,10,Otoño,218.04,3.8,buena relacion calidad-precio,Camper,Alicante
4,Deporte,3,Primavera,29.1,4.3, muy bueno!,Asics,Alicante
4,Ferreteria,9,Primavera,28.69,4.6,buena relacion calidad-precio,Sika,Alicante
4,Deporte,7,Primavera,83.11,0.5,no cumple las expectativas,Adidas,Alicante
4,Ferreteria,3,Otoño,271.23,5.0, muy bueno!,3M,Alicante
4,Ferreteria,2,Primavera,51.98,0.0,no llego el producto,Sika,Alicante
4,Ropa,5,Otoño,399.62,2.2, la calidad no es la esperada,Roxy,Alicante
5,Libros,6,Otoño,245.42,2.7,me gusto,Alianza Editorial,Madrid 
5,Cocina,4,Verano,359.76,1.8,el paquete llego en mal estado,Bimbo,Madrid 
5,Ropa,8,Primavera,235.81,0.3,muy malo,Levis,Madrid 
5,Libros,1,Primavera,227.84,0.2,no llego el producto,Platena Comic,Madrid 
5,Cocina,3,Primavera,158.52,3.6, muy bueno!,Oscar mayer,Madrid 
5,Electronica,1,Otoño,270.71,3.3, cumple las expectativas,General Electric,Madrid 
5,Zapatos,7,Primavera,173.35,0.3,muy malo,New balance,Madrid 
5,Libros,6,Otoño,109.36,3.9,buena relacion calidad-precio,Ediciones Tomodomo,Madrid 
5,Accesorios,3,Otoño,49.33,1.2,muy malo,Polo,Madrid 
5,Electronica,1,Verano,391.19,1.9,no llego en tiempo,General Electric,Madrid 
5,Baño,7,Primavera,194.74,3.0,me gusto,KH7,Madrid 
5,Hogar,9,Primavera,253.11,3.3,me gusto,Henkel,Madrid 
5,Zapatos,9,Verano,218.32,4.2,buena relacion calidad-precio,Skechers,Madrid 
5,Zapatos,8,Primavera,81.49,3.5,me gusto,New balance,Madrid 
5,Accesorios,7,Otoño,223.56,2.3,no llego en tiempo,Ray-ban,Madrid 
6,Ferreteria,9,Primavera,489.32,2.5, la calidad no es la esperada,Pavco,Valladolid
6,Ferreteria,7,Verano,438.19,0.8,no cumple las expectativas,Pavco,Valladolid
6,Deporte,5,Primavera,98.72,4.4,justo lo que esperaba,Asics,Valladolid
6,Electronica,8,Verano,327.35,1.1,no llego el producto,Apple,Valladolid
6,Libros,5,Primavera,138.23,0.7,no cumple las expectativas,Platena Comic,Valladolid
6,Ropa,7,Otoño,27.22,0.8,no llego el producto,Roxy,Valladolid
6,Accesorios,6,Primavera,189.54,4.7, muy bueno!,Ray-ban,Valladolid
6,Electronica,8,Verano,165.38,0.4,muy malo,Apple,Valladolid
6,Ropa,2,Otoño,103.12,1.1,no cumple las expectativas,Hollister,Valladolid
6,Hogar,9,Primavera,116.09,1.9, la calidad no es la esperada,Henkel,Valladolid
6,Baño,7,Verano,243.66,0.0,muy malo,KH7,Valladolid
6,Libros,6,Primavera,278.13,1.1,no llego el producto,Alianza Editorial,Valladolid
6,Ferreteria,8,Primavera,457.53,1.5,no llego el producto,Pavco,Valladolid
6,Deporte,5,Otoño,428.58,4.6,justo lo que esperaba,Nike,Valladolid
